french,english
besoin,need
essayer,try
nous,us
encore,again
animal,animal
monde,world
construire,build
soi,self
terre,earth
père,father
nouveau,new
travail,work
obtenir,get
fabriqué,made
vivre,live
où,where
après,after
arrière,back
peu,little
seulement,only
tour,round
homme,man
année,year
montrer,show
tous,every
bon,good
moi,me
donner,give
notre,our
forme,form
phrase,sentence
dire,say
faible,low
différer,differ
la cause,cause
beaucoup,much
signifier,mean
avant,before
déménagement,move
droit,right
garçon,boy
vieux,old
même,same
elle,she
tous,all
là,there
quand,when
jusqu’à,up
utiliser,use
votre,your
manière,way
sur,about
puis,then
les,them
écrire,write
si,so
son,her
long,long
chose,thing
voir,see
lui,him
deux,two
a,has
regarder,look
plus,more
