french,english
besoin,need
maison,house
image,picture
essayer,try
nous,us
encore,again
animal,animal
point,point
mère,mother
monde,world
près de,near
construire,build
soi,self
terre,earth
père,father
tout,any
nouveau,new
travail,work
partie,part
prendre,take
obtenir,get
lieu,place
fabriqué,made
vivre,live
où,where
après,after
arrière,back
peu,little
seulement,only
tour,round
homme,man
année,year
est venu,came
montrer,show
tous,every
bon,good
moi,me
donner,give
notre,our
sous,under
nom,name
très,very
par,through
juste,just
forme,form
phrase,sentence
grand,great
penser,think
dire,say
aider,help
faible,low
ligne,line
différer,differ
tour,turn
la cause,cause
beaucoup,much
signifier,mean
avant,before
déménagement,move
droit,right
garçon,boy
vieux,old
trop,too
même,same
elle,she
tous,all
là,there
quand,when
jusqu’à,up
utiliser,use
votre,your
manière,way
sur,about
beaucoup,many
puis,then
les,them
écrire,write
voudrais,would
comme,like
si,so
ces,these
son,her
long,long
faire,make
chose,thing
voir,see
lui,him
deux,two
a,has
regarder,look
plus,more
jour,day
